,Unnamed: 0,StringZ:aLund,StringZ:bLund,StringZ:rFactC,StringZ:rFactB,StringZ:aExtraSQuark,StringZ:aExtraDiquark,StringPT:sigma,StringPT:enhancedFraction,StringPT:enhancedWidth,StringFlav:ProbStoUD,StringFlav:probQQtoQ,StringFlav:probSQtoQQ,StringFlav:ProbQQ1toQQ0,TimeShower:alphaSvalue,TimeShower:pTmin,chi2
8,8,0.556011210135029,0.8685021991051547,0.0165743395309028,1.8850636668016525,1.1410076922452896,1.1492574426455289,0.772039688028021,0.3896862994793,5.495607433116924,1.779124985958933,8.889039231505224,1.7105560776268025,5.269229641140517,0.0823895448134931,0.5460311231159037,41.43753148735345
24,24,1.3470084379027467,1.5756854954225834,0.977640070689528,1.167969454218034,0.7737789653200347,0.0162924306551399,0.6388954158880663,0.1792803347512032,1.87796879221094,6.952362257393309,7.905230198192344,8.762750295181759,0.9045640362895624,0.0964776000817362,1.9808618576962609,37.34617267110908
28,28,1.5435588022979176,1.022799083508057,0.9043950336243356,1.5045459480814152,1.1860682997541223,1.8933004481625997,0.7207306845655332,0.9682078663451406,6.3734986469608055,5.519243802937911,9.843051326875742,3.767337723869957,5.754263886159878,0.2462419182695523,1.052529916083513,13.652770069369312
30,30,0.5537717824647956,1.4368784764529785,0.7751750673452229,1.9476365091956105,1.9049027879093956,1.8878397903246285,0.0280097304629438,0.0751573099900683,4.746783558876157,0.6999150385585184,6.476104690756232,4.104564022784293,8.169165224461434,0.0979541440209262,0.4058122789112833,37.27733929045215
34,34,1.0682972183350203,1.7011507621935271,1.0419487150476945,0.1208209319549384,0.3012627659757174,1.4367221353024833,0.6681465700272825,0.7481358479466341,2.0321387757856333,4.489065067822179,0.4871873921963121,7.734205676141528,7.340844749421968,0.0981707770651657,1.2637850302369324,37.80294754360362
36,36,0.9795402875049422,1.2552574488296422,1.7345246623172088,0.1090336635275215,0.7625006810387795,0.0577469571342383,0.2076589773166041,0.3098596837490627,6.164610899308137,4.119498342864059,9.93514298398155,7.338751705117639,2.7223413581821108,0.1077132904616498,1.5435453050757113,36.43794730722188
37,37,1.5146200923915802,0.5722008073429814,0.4252375486210031,1.077437463469762,1.1579374002173033,1.1872762168659017,0.3295579469504345,0.1271388073044084,9.096240771234427,9.58963627127892,7.215931668466605,3.541261880001362,5.01843008123592,0.1046905128681555,1.5380164687155562,35.43136900022963
38,38,1.0876607634594655,0.6628462795009324,1.0386133103124755,0.8127979562596084,1.7924773820712965,0.3595071788612614,0.1091735935866774,0.7128323869424252,5.188381567092014,0.4186820256782553,5.921445796467458,1.645882719721946,1.259891159045582,0.1631092281619645,1.6522831163722087,25.125272547286144
39,39,1.3719322382920025,0.2021758548612338,0.6687382369377532,1.5673606213946436,0.4268565045344636,1.592498109184029,0.2644833695718078,0.3051925670107284,7.150330471661568,7.712763781362274,0.319865887815749,4.084847570237328,0.9163045387184644,0.0707819424226808,0.1114577822534799,27.28037827669498
40,40,1.311359898158767,0.7502826484062757,1.9659484942038277,1.1706460800539062,1.357638708872745,0.098779053278218,0.3470941941745638,0.7730571593640779,3.135630362508029,6.578115664495854,1.0057517864131291,3.656926508994859,3.769973615319447,0.2399159440988328,1.0879535162633622,58.653713448485775
